,optim,n,log_likelihood
163,PSOOptim,10,-5315.4089100659685
164,PSOOptim,10,-5315.414184552414
165,PSOOptim,10,-5315.4303307843775
166,PSOOptim,10,-5315.402653677892
167,PSOOptim,10,-5315.417188538742
168,PSOOptim,10,-5315.401818237565
169,PSOOptim,10,-5315.405151453045
170,PSOOptim,10,-5315.443313952066
171,PSOOptim,10,-5315.721413404276
172,PSOOptim,10,-5315.443049025359
173,PSOOptim,10,-5315.409561252604
174,PSOOptim,10,-5315.408550458787
175,PSOOptim,10,-5315.40166133416
176,PSOOptim,10,-5315.407888028563
177,PSOOptim,10,-5315.404147798063
178,PSOOptim,10,-5315.433662399345
179,PSOOptim,10,-5315.410583954701
180,PSOOptim,50,-26606.733071834755
181,PSOOptim,50,-26606.74932009068
182,PSOOptim,50,-26607.055177723425
183,PSOOptim,50,-26606.876524277803
184,PSOOptim,50,-26613.11174054335
185,PSOOptim,50,-26606.73201543404
186,PSOOptim,50,-26607.06807496463
187,PSOOptim,50,-26606.73056434429
188,PSOOptim,50,-26606.758203318495
189,PSOOptim,50,-26607.0022586166
190,PSOOptim,50,-26606.77235506254
191,PSOOptim,50,-26606.7304249025
192,PSOOptim,50,-26608.236219298087
193,PSOOptim,50,-26606.75406594448
194,PSOOptim,50,-26606.80404285081
195,PSOOptim,50,-26606.721038182422
196,PSOOptim,50,-26606.72997056551
197,PSOOptim,50,-26606.725486059495
198,PSOOptim,50,-26606.870724432294
199,PSOOptim,50,-26606.77388471368
200,PSOOptim,100,-36621.19015150197
201,PSOOptim,100,-36621.22356916285
202,PSOOptim,100,-36621.120710248855
203,PSOOptim,100,-36621.45358286578
204,PSOOptim,100,-36621.257393279906
205,PSOOptim,100,-36621.26994746964
206,PSOOptim,100,-36621.10975430452
207,PSOOptim,100,-36621.21541518326
208,PSOOptim,100,-36621.171975393045
209,PSOOptim,100,-36621.22023673551
210,PSOOptim,100,-36621.302662714144
211,PSOOptim,100,-36621.682075890596
212,PSOOptim,100,-36621.17225192101
213,PSOOptim,100,-36621.16684073805
214,PSOOptim,100,-36621.1012876442
215,PSOOptim,100,-36621.11579891966
216,PSOOptim,100,-36621.23634847269
217,PSOOptim,100,-36621.40122656281
218,PSOOptim,100,-36621.11058007589
219,PSOOptim,100,-36621.24602017598
220,PSOOptim,500,-49515.38667958578
221,PSOOptim,500,-49517.80599671716
222,PSOOptim,500,-49514.16277718342
223,PSOOptim,500,-49514.29894378547
224,PSOOptim,500,-49538.55131556795
225,PSOOptim,500,-49514.997618960246
226,PSOOptim,500,-49514.13245427918
227,PSOOptim,500,-49515.02564157524
228,PSOOptim,500,-49514.22752121937
229,PSOOptim,500,-49517.99204145767
230,PSOOptim,500,-49516.296326696414
231,PSOOptim,500,-49524.005227103895
232,PSOOptim,500,-49514.68886843724
233,PSOOptim,500,-49514.505035559545
234,PSOOptim,500,-49514.24811433814
235,PSOOptim,500,-49514.24546724413
236,PSOOptim,500,-49514.156372705926
237,PSOOptim,500,-49514.309899609616
238,PSOOptim,500,-49514.267386908235
239,PSOOptim,500,-49514.85126090336
